FIRST NAME,LAST NAME,STREET ADDRESS,ADDRESS 2,ZIP ,CITY,STATE,TYPE OF RESIDENCE,EMAIL ADDRESS,PRIMARY PHONE,Primary isCell,Primary allowText,SECONDARY PHONE,Secondary isCell,Secondary allowText,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO CLIENT,MOBILITY ASSISTANCE,OTHER LIMITATIONS,CAR HEIGHT NEEDED,SERVICE ANIMAL,BREED,SIZE,OXYGEN,ALLERGIES,PICK UP INSTRUCTIONS,COMMENTS,Date Enrolled ,CLIENT STATUS,temp date,LIVE ALONE,MONTH & YEAR OF BIRTH,M/F,HOW DID THEY HEAR ABOUT US?,Data1_ClientName,Data2,Data3
Pamela,Myers,543 Willowview Dr,Apt. 100,14625,Penfield,NY,apt,,863-7590,Y,Y,,,,PatriciaMyers,610-625-1041,daughter, ,,med,N,,,N,,,,9/20/2019,Active,,Y,1/1944,F,BriPen Driver,Pamela Myers,,
Gladys,Williams,67 Ambiance Way,Apt. 64,14623,Rochester,NY,apt,,370-7810,,,,,,ArthurWilliams,685-1321,son,heavy walker w. seat,,med,N,,,N,,"park at entrance, lights flashing",has car; doesn't drive long distances,5/21/2024,Active,,N,1/1944,F,word of mouth,Gladys Williams,,
Norma,Taylor,136 Courtshire Ln,,14625,Penfield,NY,house,,611-392-1423,,,,,,JerryTaylor,134-5450,niece, ,,med;high,N,,,N,,,over 90;has car; doesn't drive long distances,12/6/2022,Inactive,,Y,2/1934,F,Linden Knoll Staff,Norma Taylor,,
Carole,Wade,118 Clintwood Apartment,,14623,Rochester,NY,house,carole_wade@gmail.com,762-139-3351,Y,Y,,,,LesterWade,724-2020,niece,heavy walker w. seat,,low,N,,,N,cats,,,9/7/2018,Active,,Y,9/1944,F,,Carole Wade,,
David,Gonzalez,82 Jenkins Mountain Rd,Apt. 43,14610,Rochester,NY,apt,,222-808-8036,,,690-598-5787,,,MichaelGonzalez,206-4606,lifespan coordinator,heavy walker w. seat,,low;med;high,N,,,N,,,,2/6/2018,Active,,Y,1/1940,M,,David Gonzalez,,
Donna,Jordan,56 Blue Pine Cir,,14625,Penfield,NY,house,donna_jordan@outlook.com,198-1414,,,,,,CarolynMills,742-410-6052,daughter,alum walker,,med,N,,,N,,,,6/3/2025,Temporary Thru,2/3/2026,Y,1/1946,F,,Donna Jordan,,
Ellen,Bell,83 Middleton Ln,Apt. 2,14625,Penfield,NY,apt,ellen_bell@outlook.com,251-995-4640,Y,Y,,,,MaryHarper,782-421-9988,daughter, ,,high,N,,,N,,,,9/5/2024,Active,,Y,7/1948,F,Brochure,Ellen Bell,,
Elizabeth,Wright,357 Shadow Pines Dr,Apt. 32,14625,Penfield,NY,apt,,573-5842,,,,,,KarenBest,441-9212,wife,alum walker,,low;med;high,N,,,N,,"park at entrance, lights flashing",,2/10/2021,Active,,Y,6/1946,F,Brighton Rec,Elizabeth Wright,,
Helen,Payne,3435 Sylvia Rd,Apt. 23,14620,Rochester,NY,apt,,423-1113,,,,,,GeraldPayne,276-138-4837,lifespan coordinator,alum walker,,low;med;high,N,,,N,,,prefers front seat,11/13/2021,Active,,N,7/1951,F,Penfield Rec,Helen Payne,,
Alice,Morrow,88 Old Barn Cir,Apt. 79,14625,Penfield,NY,apt,,759-2682,,,,,,PhilipMorrow,250-3879,son, ,,med;high,N,,,N,,,,7/10/2020,Active,,Y,12/1950,F,Internet,Alice Morrow,,
Billie,Valencia,69 Jones Pond Rd,Apt. 32,14623,Rochester,NY,apt,billie_valencia@gmail.com,711-9275,Y,Y,416-4537,,,RichardValencia,526-7832,husband,alum walker,,low;med;high,N,,,N,,,,12/25/2017,Active,,Y,5/1941,F,Linden Knoll Staff,Billie Valencia,,
Regina,Parker,106 French Meadows Ln,Apt. 30,14623,Rochester,NY,apt,,307-8269,Y,,,,,MichaelParker,471-434-2453,son,alum walker,phone before 5,low;med;high,N,,,N,,,,2/16/2020,Active,,Y,1/1945,F,word of mouth,Regina Parker,,
Martha,Miller,71 Burt La Fountain Rd,,14620,Rochester,NY,townhouse,,503-2773,,,,,,EdwinMiller,433-8150,son, ,,high,N,,,N,cats,,,6/22/2019,Active,,Y,11/1944,F,lifespan,Martha Miller,,
Paulette,Valencia,54 Havens Rd,,14620,Rochester,NY,mobile home,,675-788-4150,Y,Y,,,,PhillipValencia,394-826-9353,lifespan coordinator, ,,low;med;high,N,,,N,dogs,,,11/3/2024,Active,,Y,8/1944,F,Internet,Paulette Valencia,,
Janie,Simpson,1458 Johnsarbor Dr,,14610,Rochester,NY,house,janie_simpson@yahoo.com,489-2247,,,716-5139,,,EvaMoore,794-1972,wife,alum walker,,high,N,,,N,cats,,Lifespan books appts,12/14/2022,Active,,Y,5/1945,F,Penfield Rec,Janie Simpson,,
Carol,Pérez,2132 Suburban Ct,,14618,Rochester,NY,house,carol_pérez@rochester.rr.com,924-7993,Y,,,,,MaryVance,842-2239,daughter, ,,low;med;high,N,,,N,,,has car; doesn't drive long distances,9/30/2022,Active,,N,7/1949,F,BriPen Driver,Carol Pérez,,
Mary,Nava,80 Linear Park Dr,,14625,Penfield,NY,house,,835-6038,,,552-358-9570,,,MaryMoreno,341-3929,wife, ,,low;med;high,N,,,N,cats,,,11/23/2021,Active,,N,8/1950,F,word of mouth,Mary Nava,,
Sarah,Romero,92 Alder Ln,,14625,Penfield,NY,house,sarah_romero@outlook.com,485-7602,Y,Y,,,,DorothyHaynes,992-5220,daughter,alum walker,,med,N,,,N,,,,1/2/2022,Active,,Y,11/1945,F,word of mouth,Sarah Romero,,
Katherine,Howell,78 Whitestone Ln N,Apt. 98,14618,Rochester,NY,apt,,517-5590,,,,,,DavidHowell,703-6519,son, ,,low;med;high,N,,,N,,,emergency contact books appts,7/6/2025,Active,,Y,10/1942,F,,Katherine Howell,,
