Client ID,FIRST NAME,LAST NAME,PHONE NUMBER,MESSAGE,isRideRequest,MESSAGE FORWARDED TO NAME AND DATE,DATE OF RIDE,ROUND TRIP OR ONE WAY,PURPOSE OF TRIP,APPOINTMENT TIME,PICK UP TIME,ESTIMATED LENGTH OF APPOINTMENT,WHEELCHAIR,NAME OF DESTINATION/PRACTICE/BUILDING,DESTINATION STREET ADDRESS,DESTINATION ADDRESS 2,CITY,COMMENTS ABOUT RIDE,RIDE CONFIRMED WITH CLIENT,24 HOUR RE-CONFIRMATION WITH CLIENT
73,Judith,Russell,264-1270,ride request,TRUE,,9/22/2025,Round Trip,medical,2:45 AM,2:20 AM,45 min,N,doctor's office,51 Qramp,,Rochester,,Y,N
126,Mary,Schmidt,639-4677,Cancelled Drive,FALSE,CKirk 09/09/2025,9/26/2025,Round Trip,medical,12:30 PM,12:15 PM,20 min,N,doctor's office,393 Mountain Pond Rd,suite 403,Rochester,,Y,Y
64,Kenneth,Zhang,193-6647,ride request,TRUE,,9/22/2025,Round Trip,medical,2:00 AM,1:40 AM,30 min,N,dentist,68 Stone Island Ln,,Penfield,,Y,N
45,Ellen,Ruiz,365-9096,Cancelled Drive,FALSE,DZhang 09/09/2025,9/18/2025,Round Trip,medical,12:15 PM,11:45 AM,30 min,N,podiatry,56 Country Ln,,Penfield,,N,N
193,Allan,James,912-742-1707,ride request,TRUE,,9/28/2025,Round Trip,medical,10:45 AM,10:20 AM,20 min,N,orthopedics,61 Berman St,,Rochester,,Y,N
90,Martha,Miller,503-2773,ride request,TRUE,,9/16/2025,Round Trip,medical,12:30 PM,12:05 PM,45 min,N,RGH medical center,317 Wardner Rd,,Rochester,client confused,Y,N
145,Gary,Taylor,917-4532,ride request,TRUE,,9/26/2025,Round Trip,medical,2:45 AM,2:30 AM,30 min,N,URMC medical center,1419 Splendor Wood Dr,,Penfield,,N,N
124,Helen,Haynes,476-802-3162,ride request,TRUE,,9/18/2025,Round Trip,medical,9:30 AM,9:15 AM,30 min,N,RGH medical center,51 Lac De Ville Blvd,,Rochester,,N,N
126,Mary,Schmidt,639-4677,ride request,TRUE,,9/16/2025,Round Trip,medical,11:00 AM,10:45 AM,20 min,N,doctor's office,365 Fairhaven Rd,,Rochester,,N,N
12,Kay,Green,437-4384,ride request,TRUE,,9/18/2025,Round Trip,medical,2:45 AM,2:20 AM,30 min,N,orthopedics,203 Harway Dr,,Penfield,,Y,N
91,Paulette,Valencia,675-788-4150,ride request,TRUE,,9/24/2025,Round Trip,medical,12:30 PM,12:15 PM,30 min,N,URMC medical center,74 Ewald Dr,,Penfield,,Y,N
40,Juanita,Wilson,297-4045,ride request,TRUE,,9/28/2025,Round Trip,medical,1:15 AM,12:55 AM,30 min,N,orthopedics,83 Adderly Cir,,Rochester,,Y,N
48,Nancy,Turner,282-1631,ride request,TRUE,,9/24/2025,Round Trip,medical,12:15 PM,11:45 AM,1 hr,N,URMC medical center,87 Empress Ct,,Penfield,,Y,N
29,Loretta,Ayala,663-5041,ride request,TRUE,,9/19/2025,Round Trip,medical,12:45 PM,12:20 PM,20 min,N,RGH medical center,59 Heron Ln,,Rochester,,Y,Y
103,David,Johnson,472-1243,ride request,TRUE,,9/21/2025,Round Trip,medical,11:45 AM,11:30 AM,1 hr,N,URMC medical center,243 Easy St,suite 141,Penfield,,Y,N
102,Sharon,Miller,879-835-6957,ride request,TRUE,,9/27/2025,Round Trip,medical,11:15 AM,11:00 AM,1 hr,N,podiatry,173 Harway Dr,,Penfield,,Y,N
66,Darlene,Cantú,773-7384,ride request,TRUE,,9/22/2025,Round Trip,rec center,10:15 AM,9:50 AM,1.5 hr,N,lunch,194 Sunset Dr,,Rochester,,Y,N
157,Robert,Wilson,843-9956,ride request,TRUE,,9/27/2025,Round Trip,medical,2:30 AM,2:05 AM,1 hr,N,orthopedics,70 David Rd,suite 349,Rochester,,Y,Y
158,Carol,Delacruz,727-7435,ride request,TRUE,,9/21/2025,Round Trip,medical,10:30 AM,10:10 AM,30 min,N,RGH medical center,66 Sunleaf Dr,,Penfield,phone number doesn't answer,Y,N
122,Philip,McDonald,519-3509,hasn't hear from driver,FALSE,CAdams 09/08/2025,9/15/2025,Round Trip,medical,2:00 AM,1:45 AM,30 min,N,podiatry,270 Woodline Dr,,Penfield,,Y,N
66,Darlene,Cantú,773-7384,ride request,TRUE,,9/15/2025,Round Trip,medical,11:15 AM,11:00 AM,20 min,N,URMC medical center,129 Alberta Dr,,Penfield,,N,N
25,Steven,Joseph,404-8308,ride request,TRUE,,9/25/2025,Round Trip,rec center,2:15 AM,1:50 AM,45 min,N,class,831 Rue De Ville,,Rochester,,Y,N
104,Carol,Kelley,965-4574,ride request,TRUE,,9/27/2025,Round Trip,medical,12:00 PM,11:30 AM,30 min,N,orthopedics,102 Loch Loyal Ct,suite 143,Penfield,,Y,N
185,Theresa,Good,833-3678,ride request,TRUE,,9/24/2025,Round Trip,rec center,12:00 PM,11:30 AM,20 min,N,Library,81 Beacon Hills Dr S,,Penfield,,Y,Y
1,Dorothy,Wilson,147-6677,ride request,TRUE,,9/27/2025,Round Trip,medical,2:45 AM,2:30 AM,30 min,N,orthopedics,1269 French Meadows Ln,suite 465,Rochester,,Y,Y
4,Sandra,Powell,524-435-9518,ride request,TRUE,,9/19/2025,Round Trip,rec center,11:15 AM,10:50 AM,1.5 hr,N,class,120 Christine Cir,,Penfield,,Y,N
176,Patricia,Patton,977-6227,ride request,TRUE,,9/28/2025,Round Trip,medical,11:00 AM,10:35 AM,20 min,N,doctor's office,128 Pamela Ln,suite 325,Rochester,,Y,N
126,Mary,Schmidt,639-4677,ride request,TRUE,,9/21/2025,Round Trip,medical,9:30 AM,9:15 AM,30 min,N,doctor's office,183 Willow Way,,Penfield,,Y,N
110,Sara,Mejía,704-2114,ride request,TRUE,,9/29/2025,Round Trip,medical,10:30 AM,10:00 AM,1 hr,N,RGH medical center,280 Chippenham Dr,,Penfield,,Y,Y
145,Gary,Taylor,917-4532,ride request,TRUE,,9/24/2025,Round Trip,medical,1:45 AM,1:20 AM,30 min,N,podiatry,99 Elmwood Terrace,,Rochester,,N,N
192,Leslie,Stanley,404-302-6157,ride request,TRUE,,9/29/2025,Round Trip,medical,11:00 AM,10:45 AM,30 min,N,doctor's office,91 Church Of Queen Of Peace,,Rochester,,Y,N
26,Karen,Sanders,764-629-4415,ride request,TRUE,,9/20/2025,Round Trip,medical,2:45 AM,2:15 AM,1 hr,N,RGH medical center,76 Village Wood Ln,,Penfield,,N,N
47,Larry,Hernández,493-461-5040,ride request,TRUE,,9/25/2025,Round Trip,medical,11:15 AM,11:00 AM,20 min,N,podiatry,54 Bramblewood Ln,,Penfield,,Y,N
125,Linda,Bryant,920-664-4961,ride request,TRUE,,9/18/2025,Round Trip,medical,1:15 AM,1:00 AM,45 min,N,doctor's office,194 Greystone Ln,,Rochester,,Y,Y
62,Phyllis,Miller,480-8699,ride request,TRUE,,9/24/2025,Round Trip,rec center,11:15 AM,10:50 AM,1.5 hr,N,lunch,55 Le Marc Ct,,Rochester,,Y,N
79,Gladys,Williams,370-7810,ride request,TRUE,,9/17/2025,Round Trip,medical,12:45 PM,12:30 PM,20 min,N,orthopedics,171 Crittenden Rd,,Rochester,,Y,N
178,Thomas,Reyes,884-4288,ride request,TRUE,,9/15/2025,Round Trip,medical,10:15 AM,9:50 AM,20 min,N,orthopedics,1065 Gordon Heights Rd,,Rochester,,Y,N
86,Helen,Payne,423-1113,ride request,TRUE,,9/28/2025,Round Trip,medical,1:00 AM,12:30 AM,20 min,N,doctor's office,175 Thoroughbred Trail,,Penfield,,Y,Y
50,Sandra,Myers,674-9077,ride request,TRUE,,9/19/2025,Round Trip,medical,9:15 AM,8:55 AM,1 hr,N,orthopedics,68 Rue De Ville,,Rochester,client fell. Called 911,Y,N
64,Kenneth,Zhang,193-6647,ride request,TRUE,,9/26/2025,Round Trip,medical,2:15 AM,1:45 AM,1 hr,N,RGH medical center,269 Millford Crossing,,Penfield,,N,N
199,Helen,Pierce,610-6561,ride request,TRUE,,9/22/2025,Round Trip,medical,2:30 AM,2:15 AM,45 min,N,dentist,62 Liberty St,,Penfield,,N,N
87,Alice,Morrow,759-2682,ride request,TRUE,,9/26/2025,Round Trip,medical,12:30 PM,12:00 PM,30 min,N,orthopedics,352 Nevele Creek,,Penfield,,Y,N
43,Carolyn,Livingston,658-6041,ride request,TRUE,,9/24/2025,Round Trip,medical,12:15 PM,11:45 AM,1 hr,N,RGH medical center,359 Fiddlers Hollow,,Penfield,,Y,N
169,Ida,Larson,328-4776,ride request,TRUE,,9/28/2025,Round Trip,medical,2:00 AM,1:35 AM,30 min,N,doctor's office,51 Mill Hill Rd,,Rochester,,Y,N
93,Carol,Pérez,924-7993,ride request,TRUE,,9/16/2025,Round Trip,rec center,1:15 AM,12:55 AM,1.5 hr,N,lunch,254 Duffield Rd,,Rochester,,Y,N
71,Walter,Rodríguez,899-3833,ride request,TRUE,,9/26/2025,Round Trip,medical,1:45 AM,1:25 AM,20 min,N,doctor's office,60 Wishing Well Cir,,Penfield,,Y,Y
195,Paulette,Willis,379-555-2049,ride request,TRUE,,9/26/2025,Round Trip,medical,9:30 AM,9:15 AM,20 min,N,RGH medical center,152 Wheelock Rd,,Penfield,,Y,Y
102,Sharon,Miller,879-835-6957,ride request,TRUE,,9/25/2025,Round Trip,medical,10:45 AM,10:25 AM,1 hr,N,podiatry,103 Wardner Rd,,Rochester,,Y,N
76,William,Ortega,292-225-5976,ride request,TRUE,,9/24/2025,Round Trip,rec center,2:30 AM,2:10 AM,45 min,N,class,183 Thoroughbred Trail,,Penfield,,Y,N
175,Rosa,Ramírez,711-1661,ride request,TRUE,,9/22/2025,Round Trip,medical,12:15 PM,11:50 AM,1 hr,N,dentist,87 Wardner Rd,,Rochester,,Y,N
140,James,Powell,801-3160,ride request,TRUE,,9/20/2025,Round Trip,rec center,1:30 AM,1:00 AM,1 hr,N,Library,86 Penbrooke Dr,,Penfield,,Y,N
79,Gladys,Williams,370-7810,ride request,TRUE,,9/22/2025,Round Trip,medical,2:45 AM,2:20 AM,1.5 hr,N,dentist,116 French Meadows Ln,,Rochester,,N,N
166,Judith,Harvey,952-4029,hasn't hear from driver,FALSE,CKirk 09/09/2025,9/28/2025,Round Trip,medical,10:45 AM,10:15 AM,30 min,N,URMC medical center,107 Newton Dr,,Rochester,,Y,Y
94,Mary,Nava,835-6038,hasn't hear from driver,FALSE,CPratt 09/11/2025,9/20/2025,Round Trip,medical,9:30 AM,9:00 AM,1.5 hr,N,dentist,133 Eagles Nest Pl,,Penfield,,Y,N
4,Sandra,Powell,524-435-9518,ride request,TRUE,,9/26/2025,Round Trip,medical,11:15 AM,10:50 AM,1 hr,N,podiatry,83 Hobart Rd,,Rochester,,N,N
87,Alice,Morrow,759-2682,ride request,TRUE,,9/18/2025,Round Trip,medical,2:30 AM,2:15 AM,20 min,N,RGH medical center,60 Hoffman Rd,,Rochester,,Y,N
40,Juanita,Wilson,297-4045,ride request,TRUE,,9/19/2025,Round Trip,medical,2:45 AM,2:15 AM,30 min,N,RGH medical center,587 Loon Landing,,Rochester,,Y,N
104,Carol,Kelley,965-4574,ride request,TRUE,,9/24/2025,Round Trip,medical,11:45 AM,11:30 AM,20 min,N,doctor's office,263 Golden Locust Cir,,Penfield,,N,N
142,Linda,Hall,439-3108,ride request,TRUE,,9/18/2025,Round Trip,medical,2:45 AM,2:15 AM,20 min,N,podiatry,57 Arrowhead Ln,,Penfield,,Y,Y
23,Martha,Bailey,101-9428,ride request,TRUE,,9/28/2025,Round Trip,medical,2:30 AM,2:15 AM,20 min,N,dentist,52 Adderly Cir,,Rochester,,N,N
134,Barbara,Walters,645-345-2151,hasn't hear from driver,FALSE,PMyers 09/11/2025,9/19/2025,Round Trip,medical,11:45 AM,11:15 AM,1.5 hr,N,dentist,147 Todd Ln,,Penfield,,Y,N
118,Barbara,López,183-3020,ride request,TRUE,,9/18/2025,Round Trip,medical,1:15 AM,12:45 AM,45 min,N,podiatry,49 Penbrooke Dr,,Penfield,,N,N
174,Don,Gentry,907-7620,ride request,TRUE,,9/21/2025,One Way,medical,1:45 AM,1:30 AM,45 min,N,podiatry,430 Brandywine Cir,,Penfield,,Y,N
149,Patricia,Barrett,230-136-9703,ride request,TRUE,,9/28/2025,Round Trip,medical,1:15 AM,12:45 AM,45 min,N,RGH medical center,52 Gordon Heights Rd,,Rochester,,N,N
14,Barbara,Li,969-453-9137,ride request,TRUE,,9/22/2025,Round Trip,medical,2:15 AM,1:50 AM,45 min,N,orthopedics,58 Havens Rd,,Rochester,,Y,Y
159,Christine,Roberson,395-1195,ride request,TRUE,,9/16/2025,Round Trip,medical,9:15 AM,8:55 AM,1.5 hr,N,orthopedics,114 Church Of Queen Of Peace,,Rochester,,Y,N
170,Diana,Williams,753-8711,ride request,TRUE,,9/16/2025,Round Trip,medical,9:00 AM,8:30 AM,20 min,N,doctor's office,60 Astor Dr,suite 465,Rochester,,Y,N
88,Billie,Valencia,711-9275,ride request,TRUE,,9/28/2025,Round Trip,medical,10:00 AM,9:45 AM,45 min,N,podiatry,60 Heron Ln,,Rochester,,Y,N
61,Barbara,Smith,356-3472,ride request,TRUE,,9/22/2025,Round Trip,medical,2:00 AM,1:35 AM,30 min,N,dentist,57 Lac De Ville Blvd,,Rochester,,N,N
130,Willard,Dixon,765-222-5216,ride request,TRUE,,9/16/2025,Round Trip,medical,9:15 AM,8:45 AM,1.5 hr,N,orthopedics,74 Seton Ct,,Penfield,,Y,N
123,Sharon,Rodríguez,122-6413,ride request,TRUE,,9/24/2025,Round Trip,medical,12:15 PM,12:00 PM,45 min,N,podiatry,921 Phaeton Dr,suite 420,Penfield,,N,N
94,Mary,Nava,835-6038,ride request,TRUE,,9/19/2025,Round Trip,medical,12:15 PM,12:00 PM,30 min,N,podiatry,119 Mountain Pond Rd,,Rochester,,Y,Y
149,Patricia,Barrett,230-136-9703,ride request,TRUE,,9/17/2025,Round Trip,medical,9:00 AM,8:35 AM,1.5 hr,N,URMC medical center,103 Liberty St,,Penfield,,N,N
33,Joyce,Baker,699-546-3747,ride request,TRUE,,9/23/2025,Round Trip,medical,2:15 AM,1:50 AM,1.5 hr,N,URMC medical center,112 Thoroughbred Trail,,Penfield,,Y,N
33,Joyce,Baker,699-546-3747,ride request,TRUE,,9/27/2025,Round Trip,medical,11:45 AM,11:20 AM,1 hr,N,doctor's office,92 Clinton Ave N,,Rochester,,Y,N
167,Janice,Ward,741-9553,ride request,TRUE,,9/16/2025,Round Trip,medical,10:00 AM,9:30 AM,30 min,N,RGH medical center,237 Motts Ln,,Penfield,,Y,N
80,Norma,Taylor,611-392-1423,ride request,TRUE,,9/20/2025,Round Trip,medical,11:30 AM,11:05 AM,1.5 hr,N,RGH medical center,59 Thomville Cir,,Penfield,,N,N
175,Rosa,Ramírez,711-1661,ride request,TRUE,,9/29/2025,Round Trip,medical,9:00 AM,8:40 AM,20 min,N,dentist,135 Adderly Cir,,Rochester,,Y,N
149,Patricia,Barrett,230-136-9703,ride request,TRUE,,9/17/2025,Round Trip,medical,12:15 PM,11:55 AM,20 min,N,dentist,238 Northern Dr,,Rochester,,Y,N
124,Helen,Haynes,476-802-3162,ride request,TRUE,,9/16/2025,Round Trip,medical,2:15 AM,1:55 AM,20 min,N,doctor's office,59 French Meadows Ln,,Rochester,,Y,Y
182,Barbara,López,290-6056,ride request,TRUE,,9/27/2025,Round Trip,medical,12:15 PM,11:45 AM,1.5 hr,N,orthopedics,81 Empress Ct,,Penfield,,Y,N
77,Sharon,Hernández,746-846-4402,ride request,TRUE,,9/23/2025,Round Trip,medical,1:00 AM,12:40 AM,1.5 hr,N,podiatry,206 Hunters Ln,,Rochester,,N,N
32,Jill,Stewart,185-3136,ride request,TRUE,,9/15/2025,Round Trip,medical,1:30 AM,1:10 AM,20 min,N,RGH medical center,1526 Dear Ln,,Rochester,,Y,N
58,Ronnie,Torres,683-1381,ride request,TRUE,,9/20/2025,Round Trip,medical,12:45 PM,12:30 PM,20 min,N,RGH medical center,716 Pine Brook Cir,,Penfield,,Y,Y
67,Helen,Williams,662-7874,ride request,TRUE,,9/27/2025,Round Trip,medical,1:00 AM,12:40 AM,20 min,N,RGH medical center,79 Chippenham Dr,,Penfield,,N,N
193,Allan,James,912-742-1707,ride request,TRUE,,9/28/2025,Round Trip,medical,1:00 AM,12:40 AM,20 min,N,dentist,50 Arrowhead Ln,,Penfield,,Y,N
109,Mary,Stephens,857-2285,ride request,TRUE,,9/22/2025,Round Trip,medical,2:15 AM,1:45 AM,20 min,N,dentist,177 Honeysuckle Dr,,Penfield,,N,N
134,Barbara,Walters,645-345-2151,ride request,TRUE,,9/23/2025,Round Trip,medical,11:30 AM,11:05 AM,45 min,N,dentist,92 Pineview Dr,,Penfield,,Y,N
198,Margie,Fox,115-938-7475,ride request,TRUE,,9/25/2025,One Way,medical,2:45 AM,2:15 AM,45 min,N,RGH medical center,289 Hillcrest Dr,,Penfield,,Y,N
69,Anna,Flores,636-2219,ride request,TRUE,,9/22/2025,Round Trip,medical,2:30 AM,2:00 AM,45 min,N,podiatry,55 Grassy Knoll Cir,,Penfield,,N,N
184,Elaine,Dougherty,227-9273,ride request,TRUE,,9/18/2025,Round Trip,medical,10:45 AM,10:30 AM,1 hr,N,orthopedics,76 Redwood Dr,suite 440,Penfield,,Y,Y
170,Diana,Williams,753-8711,ride request,TRUE,,9/16/2025,Round Trip,medical,1:00 AM,12:45 AM,30 min,N,URMC medical center,277 Parham Dr,,Penfield,,N,N
158,Carol,Delacruz,727-7435,ride request,TRUE,,9/27/2025,Round Trip,medical,1:15 AM,1:00 AM,1.5 hr,N,orthopedics,130 Middleton Ln,,Penfield,,Y,N
30,Lillie,McKay,454-3797,ride request,TRUE,,9/27/2025,Round Trip,medical,10:45 AM,10:15 AM,30 min,N,URMC medical center,470 Gennis Dr,,Penfield,,Y,N
77,Sharon,Hernández,746-846-4402,ride request,TRUE,,9/20/2025,One Way,medical,11:00 AM,10:45 AM,20 min,N,orthopedics,85 Clint Wood Center,,Rochester,,Y,N
174,Don,Gentry,907-7620,ride request,TRUE,,9/22/2025,Round Trip,medical,10:00 AM,9:45 AM,20 min,N,dentist,461 Norhill Dr,,Penfield,,Y,Y
95,Sarah,Romero,485-7602,ride request,TRUE,,9/20/2025,Round Trip,medical,1:45 AM,1:30 AM,45 min,N,dentist,1426 Mountain Pond Rd,,Rochester,,N,N
87,Alice,Morrow,759-2682,ride request,TRUE,,9/22/2025,Round Trip,medical,11:30 AM,11:10 AM,1 hr,N,podiatry,592 Knoll Top Dr,,Rochester,,N,N
7,Esther,Morgan,190-4024,ride request,TRUE,,9/17/2025,Round Trip,medical,9:15 AM,8:55 AM,1 hr,N,RGH medical center,206 Downs Rd,suite 463,Rochester,,Y,Y
145,Gary,Taylor,917-4532,ride request,TRUE,,9/27/2025,Round Trip,medical,9:15 AM,8:45 AM,45 min,N,RGH medical center,652 Highledge Dr,suite 361,Penfield,,Y,N
140,James,Powell,801-3160,ride request,TRUE,,9/22/2025,Round Trip,medical,9:00 AM,8:45 AM,1.5 hr,N,URMC medical center,488 Qramp,,Rochester,,Y,Y
13,Barbara,Stevenson,208-6140,ride request,TRUE,,9/24/2025,Round Trip,medical,12:45 PM,12:15 PM,1.5 hr,N,RGH medical center,62 St Ebba's Dr,,Penfield,,N,N
152,Linda,Gibbs,213-8281,ride request,TRUE,,9/15/2025,Round Trip,medical,11:30 AM,11:05 AM,45 min,N,dentist,67 Christine Cir,,Penfield,,Y,N
131,Linda,McDonald,259-5855,ride request,TRUE,,9/24/2025,Round Trip,medical,10:15 AM,9:55 AM,1 hr,N,RGH medical center,49 Gennis Dr,,Penfield,,N,N
