VOLUNTEER POSITION,FIRST NAME,LAST NAME,User ID,PASSWORD,MONTH & YEAR OF BIRTH,STREET ADDRESS,ADDRESS 2,ZIP,CITY,STATE,VOLUNTEERING STATUS,EMAIL ADDRESS,PRIMARY PHONE,primary isCell,primary can text,SECONDARY PHONE,secondary isCell,secondary canText,CONTACT TYPE PREFERENCE,EMERGENCY CONTACT NAME,EMERGENCY CONTACT PHONE,RELATIONSHIP TO VOLUNTEER,COMMENTS,DRIVER AVAILABILITY BY DAY & TIME,TYPE OF VEHICLE,Allergens in Car,COLOR,SEAT HEIGHT FROM GROUND,MAX RIDES/WEEK,TOWN PREFERENCE FOR CLIENT RESIDENCE,DESTINATION LIMITATIONS,CLIENT PREFERENCE FOR DRIVERS,MILEAGE REIMBURSEMENT,HOW DID THEY HEAR ABOUT US?,WHEN TRAINED BY LIFESPAN,WHEN ORIENTED TO POSITION,DATE BEGAN VOLUNTEERING,Data1_fromDate,Data2_toDate,Data3
driver,Russell,Martínez,RMartínez111,oc4rk9.bi,9/1971,152 French Meadows Ln,,14620,Rochester,NY,Active,russell_martínez@yahoo.com,574-8970,Y,Y,,,,text,Mary Brennan,258-8086,daughter,,F09;F14;T12;T16;Th13,sedan,smoke,black,23,1,,,,N,,1/13/2024,2/5/2024,9/12/2024,9/13/2025,2/20/2026,
driver,Joan,Duncan,JDuncan,xw#hmd.mr.o,4/1966,68 Mapleview Cir,,14625,Penfield,NY,Active,joan_duncan@gmail.com,161-2333,Y,Y,,,,text,Russell Anderson,155-3870,sister,,F09;F10;F11;F12;F16;M10;M11;M13;M15;M16;T09;T11;T12;T14;T16;Th09;Th10;Th11;Th12;Th13;W10;W11;W12;W13;W14;W15,SUV,cats,gray,25,4,,,,N,Penfield Rec,2/29/2024,6/11/2025,8/5/2025,9/17/2025,1/3/2026,
driver,Marianne,Hall,MHall,3co61x5u2t#et,7/1975,66 Fairhaven Rd,,14618,Rochester,NY,Active,,387-3795,,,,,,email,Robert Meyer,626-815-3694,son,,F10;F11;F12;F13;F14;F15;F16;M09;M11;M13;M15;M16;T10;T14;T16;Th10;Th11;Th13;Th16;W10;W11;W12;W13;W14;W16,sedan,,black,21,3,,,,Y,Brochure,3/27/2024,3/20/2025,4/13/2025,8/15/2025,1/1/2026,
driver,George,Delarosa,GDelarosa,8kiy3exdl0n.v0b,9/1971,56 Brighton Henrietta Town Line Rd,Apt. 88,14623,Rochester,NY,Resigned on 10/07/2022,george_delarosa@outlook.com,367-9893,Y,,,,,email,Juanita Nguy?n,895-6830,wife,,F11;F12;F13;F16;M09;M11;M13;M14;M15;T13;Th13;W11;W12,Truck,,gray,40,1,Penfield,,,N,BriPen Driver,11/13/2023,2/9/2024,2/8/2025,9/7/2025,12/7/2025,
driver;coordinator,Craig,Kirk,CKirk,71yeb8l5rk4,9/1977,416 Sunleaf Dr,,14625,Penfield,NY,on Leave until 11/12/2025,craig_kirk@rochester.rr.com,196-260-4333,Y,,,,,email,Charles Copeland,152-9457,son,,F09;F10;F12;F13;F14;F16;M10;M12;M13;M14;M15;M16;T12;T15;T16;Th11;Th14;W09;W11;W13;W14;W15;W16,sedan,,white,23,1,,,,N,Brochure,12/2/2022,4/3/2024,6/22/2025,9/14/2025,3/3/2026,
driver,Billy,Garrett,BGarrett,s.z3prct.07csx,10/1969,57 Rock Hill Rd,,14620,Rochester,NY,Active,billy_garrett@yahoo.com,283-7925,,,,,,text,Jimmy Becker,863-1701,apt mgr,,F09;F12;F14;M09;M10;M14;M15;T09;T16;Th09;W11;W12,sedan,cats,black,22,1,,,,N,,10/25/2022,8/2/2025,8/2/2025,9/10/2025,9/25/2025,
driver,Carol,Silva,CSilva,6f3tg6hg0lj,11/1976,313 Monroe County Line Rd,,14625,Penfield,NY,Active,carol_silva@gmail.com,594-3134,Y,,,,,email,Douglas Lester,594-8351,son,,F09;F12;F14;T16;W09;W13,sedan,,maroon,21,3,,Brighton,,N,Linden Knoll Staff,9/18/2023,7/25/2025,7/26/2025,10/2/2025,1/23/2026,
driver,Warren,Curry,WCurry,xt0j4p9rl#2048n,9/1974,217 Pine Meadow Dr,,14625,Penfield,NY,Active,warren_curry@outlook.com,203-3418,,,,,,text,Thomas Young,942-3560,son,,F12;F14;F15;M09;M10;M11;M13;M16;T09;T11;T12;T14;T15;Th10;Th11;Th12;Th13;Th14;Th15;Th16;W09;W10;W11;W15,SUV,cats,gray,24,3,,,,Y,lifespan,4/8/2023,7/21/2023,8/1/2024,9/9/2025,11/20/2025,
driver,Terry,Bell,TBell,wraq4c6v7um4tv,11/1975,51 Briar Manor Apartment,,14623,Rochester,NY,on Leave until 12/11/2025,,581-796-8679,Y,,,,,email,Dennis Williams,336-525-1564,sister,,F10;F11;F12;F15;M10;M11;M12;M13;T10;T15;Th09;Th12;Th13;Th16;W12;W16,SUV,,gray,26,3,,,,Y,lifespan,5/30/2023,11/25/2024,1/1/2025,9/27/2025,12/22/2025,
driver,James,Nichols,JNichols,ji4.9l09zrk,11/1971,64 Todd Ln,,14625,Penfield,NY,Resigned on 04/28/2025,james_nichols@rochester.rr.com,245-5104,Y,,,,,email,Ann Schroeder,361-3910,daughter,,M09;T09;T13;T15;Th12;W14,Truck,,gray,36,4,,,,Y,Linden Knoll Staff,3/19/2024,9/22/2024,10/7/2024,9/20/2025,11/11/2025,
driver,Brenda,Padilla,BPadilla,rwnctama5yt8wa,9/1972,100 Live Oak Ct,,14625,Penfield,NY,Active,brenda_padilla@rochester.rr.com,723-1077,,,,,,text,Curtis Griffith,507-5625,niece,,F09;F16;M12;M13;M16;T11;Th13;Th15;Th16;W11;W12;W14,sedan,,white,22,4,,,,Y,word of mouth,4/22/2025,8/31/2025,8/31/2025,10/3/2025,10/21/2025,
driver,Bonnie,Sutton,BSutton,kwvodz6ezd.ej,9/1972,87 Johnsarbor Dr E,,14610,Rochester,NY,Away from 08/29/2025 until 10/30/2025,bonnie_sutton@rochester.rr.com,483-8264,Y,Y,,,,email,David Abbott,205-4187,son,,F09;F10;F13;T09;T13;T15;Th11;Th13;Th15;W13;W14,Truck,,black,33,4,,,,N,Brighton Rec,5/6/2024,6/25/2024,7/17/2025,8/29/2025,10/30/2025,
driver,Michael,Jordan,MJordan,6.fjkft3,2/1980,86 Templeton Rd,,14618,Rochester,NY,Active,michael_jordan@outlook.com,322-7903,,,,,,text,Barbara Sullivan,297-9598,friend,,F10;F11;F13;M09;M10;M11;M12;M13;M14;M15;T09;T12;T13;T14;T16;Th09;Th11;Th12;Th15;Th16;W09;W11;W12;W14;W15,sedan,,white,20,1,,,,N,word of mouth,12/31/2022,9/27/2023,1/8/2025,11/5/2025,3/9/2026,
driver,Teresa,Nguy?n,TNguy?n,jh_zutzkdr8_,4/1972,984 Meridian Centre Blvd,,14620,Rochester,NY,Active,teresa_nguy?n@yahoo.com,900-3942,Y,,,,,email,Richard Flores,110-9374,son,,M11;M13;M15;M16;T09;T11;T16;Th09;Th10;Th11;Th13;W10;W14,SUV,,white,26,4,,,,N,Linden Knoll Staff,9/3/2024,2/9/2025,4/12/2025,10/23/2025,1/24/2026,
driver,Robert,Ross,RRoss,xe3rrn4ag,10/1969,126 Clove Dr,,14625,Penfield,NY,Active,robert_ross@rochester.rr.com,605-8658,,,,,,email,Sandra Wilcox,773-9039,daughter,,F10;F11;F13;M10;M13;M14;M15;T09;T13;T15;T16;Th09;Th14;W12;W14;W16,sedan,,gray,19,2,,,,Y,Brochure,11/1/2022,4/11/2025,7/19/2025,9/26/2025,11/6/2025,
driver,Timothy,Young,TYoung,4gvppflp,4/1961,70 Rue De Ville,,14623,Rochester,NY,Resigned on 08/09/2024,timothy_young@outlook.com,656-7374,,,,,,email,Kathleen Gentry,721-6688,daughter,This is another comment,F10;F11;F14;T14;T16;Th09;Th16;W10;W12,sedan,,black,19,3,,,,Y,Internet,4/13/2024,4/3/2025,8/11/2025,12/12/2025,1/12/2026,
driver,Shirley,Campbell,SCampbell,z0vw25kw,11/1967,60 Golfview Dr,,14625,Penfield,NY,Resigned on 06/21/2023,,501-8139,,,,,,email,Helen Carter,109-4982,wife,,F09;F13;M09;M11;M12;M13;M15;T11;T12;T13;T14;T15;T16;Th10;Th11;Th12;Th13;Th15;W12;W13,sedan,cats,white,22,3,Brighton,,,N,word of mouth,9/26/2024,10/3/2024,12/8/2024,8/13/2025,9/6/2025,
driver,Andrea,Sanchez,ASanchez,n2my50gkhr3,4/1974,107 Downs Rd,,14623,Rochester,NY,Active,andrea_sanchez@rochester.rr.com,559-6205,,,974-9289,Y,,text,Elizabeth McConnell,962-846-3549,daughter,,F10;F11;F14;M14;M15;T11;T13;Th10;Th11;Th14;Th16;W09;W10;W13;W15;W16,SUV,,white,25,1,,,,N,BriPen Driver,11/3/2024,7/21/2025,9/6/2025,9/22/2025,3/14/2026,
driver,Janie,Young,JYoung,9iz2xg5eoz8u,4/1972,112 Maple Hill Farm Rd,,14625,Penfield,NY,Active,janie_young@yahoo.com,678-9281,,,,,,email,Fred Myers,625-5092,son,,F09;F11;F12;F13;F14;M11;M12;M13;M16;T09;T10;T13;T15;T16;Th09;Th12;Th15;W09;W10;W12;W15,sedan,,gray,22,3,Brighton,,,N,Internet,5/23/2025,9/6/2025,9/7/2025,12/11/2025,1/28/2026,
dispatcher,John,Jordan,JJordan,9k.i8z#d5fv,11/1975,64 Downs Rd,,14620,Rochester,NY,Active,john_jordan@gmail.com,548-5716,Y,Y,,,,email,Judy Ruiz,918-7633,daughter,,F10;M12;M13;M14;T09;T11;T12;T15;Th10;Th12;Th13;Th14;W09,Truck,,gold,26,2,,,Gladys Williams;Gary Taylor;Joyce Kelly;Rosemary Peterson;Regina Parker,Y,word of mouth,2/5/2024,7/12/2025,7/26/2025,10/9/2025,1/5/2026,
driver,Thomas,Browning,TBrowning,1qz9zzb5iq,3/1966,401 Monroe County Line Rd,,14625,Penfield,NY,Active,thomas_browning@yahoo.com,871-8038,,,817-6241,Y,,email,Karen Burnett,517-6889,wife,,F09;F10;F11;F13;F14;F16;M09;M10;M14;M16;T12;T13;T15;T16;Th11;Th12;Th15;Th16;W09;W12;W13;W15,Truck,cats,white,38,4,,Penfield,,N,Linden Knoll Staff,4/25/2023,4/23/2025,6/8/2025,11/29/2025,3/13/2026,
driver,Janet,Moody,JMoody,u.#iif84x72,6/1964,106 Tall Tree Dr,,14625,Penfield,NY,Active,janet_moody@gmail.com,316-7475,,,,,,email,Judy McDaniel,613-7501,daughter,,F09;F10;F12;F16;M09;M10;M13;M14;M15;T10;T14;T15;Th10;Th12;Th13;Th15;Th16;W11;W12;W15,sedan,,black,24,1,,,,N,Linden Knoll Staff,8/18/2024,2/5/2025,7/21/2025,10/2/2025,12/30/2025,
driver,Brian,Hayes,BHayes,tve.t3c418js8e,2/1966,106 Gordon Heights Rd,,14623,Rochester,NY,Active,brian_hayes@yahoo.com,859-5469,,,,,,email,Phyllis Khan,954-7169,daughter,,F11;F15;F16;M10;M11;M12;M14;M15;T10;T13;T14;Th10;Th13;Th16;W10;W15;W16,SUV,,black,26,2,,,,N,Brochure,6/3/2023,8/4/2024,8/12/2024,10/14/2025,2/9/2026,
driver,Paul,Brown,PBrown,firmqzaf5p,10/1971,52 Lazy Trail,,14625,Penfield,NY,Active,paul_brown@gmail.com,808-8499,,,,,,email,Gordon Rhodes,316-4760,son,,F09;F11;F13;M11;M16;T09;T11;T12;T16;Th16;W09;W10;W13;W14;W16,sedan,,gray,23,3,,Brighton,,N,word of mouth,12/27/2022,6/18/2025,7/8/2025,9/28/2025,10/17/2025,
driver,Susan,Sanchez,SSanchez,vmw1zrl#2xlyb,8/1974,151 Embassy Ln,,14620,Rochester,NY,on Leave until 02/15/2026,susan_sanchez@rochester.rr.com,279-8007,,,,,,email,John Rodríguez,192-4522,son,,F13;F14;F15;M10;M12;T11;T16;Th09;Th11;Th12;Th16;W09;W15,sedan,,green,24,4,,,Nancy Turner,Y,word of mouth,1/12/2025,6/13/2025,8/5/2025,10/13/2025,3/24/2026,
driver,Carol,Lee,CLee,.m019mnlv6igbk,11/1971,56 Chateau Square,,14610,Rochester,NY,on Leave until 01/17/2026,carol_lee@outlook.com,765-6476,Y,,,,,email;call,Shirley Cook,431-5100,daughter,,F09;F10;F11;F13;F15;F16;M09;M10;M12;M16;T09;T10;T11;T12;T13;T15;T16;Th12;Th14;Th16;W09;W10;W12;W14,sedan,,white,20,3,,,,Y,Penfield Rec,6/8/2025,8/10/2025,8/20/2025,9/20/2025,11/17/2025,
driver,Bonnie,Morrow,BMorrow,oe7327i7snnmbej,6/1979,66 N Graham Creek Heights,,14625,Penfield,NY,Active,bonnie_morrow@yahoo.com,645-681-3998,Y,Y,,,,text,Jeffrey Rogers,170-7041,son,,F14;M09;T12;T13;Th13;Th14;Th16;W13,sedan,,white,24,4,,Brighton,,Y,word of mouth,4/10/2023,6/3/2024,2/8/2025,12/22/2025,5/31/2026,
driver,Gloria,Powell,GPowell,1emy53tjut,3/1975,90 David Rd,,14623,Rochester,NY,Active,gloria_powell@outlook.com,565-6338,Y,,,,,email,Carol Hart,776-3343,friend,,F10;F11;F13;F14;F15;F16;M10;M11;M12;M13;M15;M16;T09;T11;T12;T14;T15;Th09;Th15;W09;W11;W12;W16,sedan,,white,23,4,,,,Y,Internet,11/23/2022,5/20/2025,8/14/2025,11/9/2025,3/10/2026,
driver,James,Kim,JKim,dpic4ufibmf#6,1/1970,989 Loon Landing,,14618,Rochester,NY,Active,james_kim@rochester.rr.com,618-5778,Y,Y,530-9000,,,email,Nancy Santiago,221-1994,wife,,M10;M11;T09;T13;T15;W10;W14,sedan,,white,24,3,,Penfield,,N,Penfield Rec,2/27/2025,9/8/2025,9/8/2025,11/12/2025,1/11/2026,
driver,William,Moreno,WMoreno,2jhq5sdlhi,6/1961,252 Henderson Dr,,14625,Penfield,NY,Active,william_moreno@rochester.rr.com,878-393-3616,,,,,,email,Bob Garcia,495-1292,sister,,F10;F14;F15;M09;M10;M12;T09;T15;Th09;Th10;Th11;Th13;Th15;Th16;W09;W13;W15;W16,sedan,,gray,24,1,,,,Y,JCC,10/3/2023,7/5/2024,8/25/2025,10/10/2025,11/20/2025,
driver,Kevin,Chandler,KChandler,.g1_yyj0b,11/1980,58 Songbird Ln,,14610,Rochester,NY,Active,kevin_chandler@gmail.com,641-5174,Y,Y,,,,email,Rodney Ramírez,440-9807,son,,F15;M13;T12;T13;Th10;Th14;W09;W13;W15;W16,SUV,,blue,26,3,,Brighton,,Y,Brighton Rec,3/21/2025,6/18/2025,8/27/2025,12/1/2025,2/20/2026,
dispatcher,Robert,Matthews,RMatthews,z6d28qjsc0cg66o,4/1970,63 Knoll Top Dr,,14623,Rochester,NY,on Leave until 10/07/2025,robert_matthews@rochester.rr.com,895-1822,,,,,,text,Betty Williams,432-691-9594,daughter,,F11;M14;M15;T09;Th15;Th16;W15,Truck,smoke,white,35,3,,,,N,Brochure,5/19/2025,9/7/2025,9/7/2025,9/26/2025,3/17/2026,
driver,Barbara,Myers,BMyers,1eniwhkf4b3,3/1968,51 Ewald Dr,Apt. 34,14625,Penfield,NY,Active,barbara_myers@rochester.rr.com,567-549-2064,,,,,,email;text,Patricia López,347-371-5511,daughter,,F09;F10;F11;F13;M10;M11;M13;M14;T11;T13;Th09;Th10;Th12;Th13;Th14;Th15;W11;W12;W13;W14,SUV,,red,26,4,,,,N,JCC,11/24/2022,12/2/2024,6/29/2025,11/21/2025,4/9/2026,
driver,Theodore,Juárez,TJuárez,6_wfmk7v8gmj.,9/1972,49 Goldenchain Ct,,14625,Penfield,NY,Active,theodore_juárez@outlook.com,902-5630,,,,,,email,Joan Díaz,307-488-2164,daughter,,F10;F13;M13;Th09;W11,Truck,cats,red,40,4,,,,N,,1/27/2023,12/20/2024,2/18/2025,10/18/2025,3/10/2026,
driver,Thomas,Dunn,TDunn,jmjj.xukm,11/1966,65 French Meadows Ln,,14610,Rochester,NY,Active,,502-4337,Y,,,,,email,Terry Hughes,477-1687,wife,,F09;F11;F13;F14;M11;M13;M14;M16;T10;W10;W14;W16,Truck,,white,33,3,,,,N,,5/28/2024,6/19/2025,8/17/2025,10/26/2025,4/13/2026,
driver,David,Sanchez,DSanchez,hsm##1nf#j7,7/1976,99 Gebhardt Rd,,14625,Penfield,NY,Active,david_sanchez@gmail.com,662-1278,Y,,,,,email,Beverly Miller,392-203-1929,wife,,F09;F10;F13;F15;F16;M10;M11;M13;M16;T09;T10;T11;T12;T13;T15;T16;Th11;Th12;Th13;Th14;Th15;Th16;W09,Truck,,gray,26,1,Brighton,,Ellen Ruiz;Karen Sanders,Y,Internet,7/17/2023,7/27/2024,3/4/2025,10/3/2025,12/28/2025,
driver,Charles,George,CGeorge,kcj_.gega,1/1969,515 Pennicott Cir,,14625,Penfield,NY,Active,charles_george@yahoo.com,367-6575,Y,,,,,email,David Torres,206-370-4836,son,,F10;F15;F16;M09;M11;M12;M13;M15;T09;T10;T11;T12;T16;Th09;Th10;Th13;Th14;W11;W12;W16,sedan,,white,23,2,Penfield,,,N,,2/23/2025,4/24/2025,5/14/2025,9/6/2025,10/24/2025,
driver,Donna,Villalobos,DVillalobos977,y0#xl.d7nz5l,4/1964,67 Burningtree Ln,,14625,Penfield,NY,Active,donna_villalobos@rochester.rr.com,369-8817,Y,,934-9882,,,email,Christine Allen,245-910-9262,friend,,M13;M15;Th09;W14;W15,SUV,smoke,white,25,3,,,,N,lifespan,11/21/2022,4/23/2024,6/21/2025,11/4/2025,1/2/2026,
driver,Carl,Pearson,CPearson,iyw6tdkl7c_i,1/1967,129 Berrywood Cir,,14625,Penfield,NY,Active,,301-6978,Y,Y,977-1272,,,email,Richard Anderson,357-5684,son,,F09;F10;F12;F14;F15;F16;M09;M12;M13;M14;M16;T10;T11;T12;Th12;Th15;W10;W11;W12;W13;W15;W16,Truck,,white,39,1,,Penfield,,Y,word of mouth,4/6/2024,7/6/2024,3/26/2025,8/22/2025,1/20/2026,
driver,Calvin,Pratt,CPratt,_exxvz.b._oh,11/1968,175 Meadowlark Dr,,14625,Penfield,NY,Active,calvin_pratt@yahoo.com,108-5659,,,,,,email,Leroy Allen,137-9749,nephew,,F09;F12;F15;M10;M11;M13;M15;Th09;Th10;Th16;W09;W10;W11;W12;W13;W14,Truck,,red,30,3,,,Richard Torres;Sandra DeLeon;Annie Newton;Elizabeth Patterson,N,word of mouth,8/1/2024,12/30/2024,2/3/2025,10/20/2025,12/30/2025,
driver,Gary,Andrews,GAndrews,1ru0eq0eh.6#,10/1972,124 Gordon Heights Rd,Apt. 75,14623,Rochester,NY,Active,,538-9029,,,,,,email,James Reynolds,695-6798,nephew,,F09;F13;M13;M14;M16;T11;T12;T13;Th11;Th14;W11;W14,SUV,,white,23,4,,,,N,BriPen Driver,10/16/2022,11/1/2022,10/20/2024,9/17/2025,2/16/2026,
driver,Anita,Navarro,ANavarro,6be_0tt1j.,5/1968,50 Downs Rd,,14618,Rochester,NY,Active,anita_navarro@yahoo.com,435-275-5897,,,,,,email,George Flores,765-3524,sister,,F09;F11;F12;F13;F14;F16;M09;M10;M11;M13;M14;M15;M16;T09;T12;T15;T16;Th09;Th10;Th11;Th12;Th13;Th16;W09;W11;W13;W14,SUV,,white,23,3,,Penfield,,N,Penfield Rec,6/25/2023,9/6/2023,10/15/2023,11/22/2025,1/11/2026,
driver,David,Zhang,DZhang,zkjaaylw.xbfwb8,5/1972,100 Penshire Cir,,14625,Penfield,NY,Active,david_zhang@gmail.com,804-2535,Y,Y,,,,call,Thomas Delgado,803-9121,nephew,,F09;F11;F13;F14;F15;M09;M10;M12;M14;M15;M16;T11;Th13;Th15;Th16;W09;W10;W11;W12;W13;W15;W16,sedan,,gray,24,1,,,,N,Internet,7/4/2024,5/31/2025,8/25/2025,9/2/2025,1/25/2026,
driver,Sherry,Miranda,SMiranda,#4v9af01x,1/1972,219 Bremen Cir,,14625,Penfield,NY,Active,sherry_miranda@rochester.rr.com,184-7324,Y,Y,,,,email,Joann Walker,527-4127,friend,,F10;T12;T15;Th10;Th15;W10;W13,sedan,,red,24,2,,,,N,word of mouth,2/17/2023,5/26/2025,8/31/2025,10/10/2025,1/15/2026,
driver,Roy,Nichols,RNichols,_#3yg_g_9.ook,11/1977,248 Sweets View Dr,,14625,Penfield,NY,Active,roy_nichols@rochester.rr.com,494-9876,Y,,636-8201,,,email,Stephen Johnson,491-3477,son,,F09;F11;F12;F16;M09;M11;M16;T11;T15;Th09;Th10;Th11;Th13;Th16;W10;W11;W12;W13;W14;W15,SUV,,white,25,4,,,,N,Linden Knoll Staff,12/5/2024,8/30/2025,9/7/2025,10/19/2025,4/1/2026,
driver,Patricia,Myers,PMyers,pn1e1wwmix2ynq,9/1969,235 Renwick Run,,14625,Penfield,NY,Active,patricia_myers@yahoo.com,472-7392,,,,,,email,Thomas Raymond,557-4850,sister,,F09;F10;M09;M11;T09;T15;Th09;Th16;W12;W14,sedan,,black,19,4,,,Betty Johnson;Willie Bautista;Sarah Romero;Rose Phelps;Linda Hall,Y,,10/1/2023,6/3/2025,8/12/2025,9/27/2025,12/9/2025,
driver,William,Pierce,WPierce,rscx73f.0l6ew1#,7/1968,176 Le Marc Ct,,14623,Rochester,NY,Active,william_pierce@gmail.com,496-2390,,,392-626-3143,Y,Y,email,John Brooks,940-1296,husband,,F11;F12;F13;F15;F16;M09;M11;M13;M15;T09;T13;T14;T15;T16;Th09;Th10;Th11;Th12;Th13;Th14;W10;W12;W13;W16,sedan,smoke,white,20,2,,Brighton,,N,word of mouth,8/31/2023,5/20/2024,1/22/2025,10/7/2025,12/26/2025,
driver,Sherry,Sanchez,SSanchez,s8ujcl4rd7jbgr,12/1977,108 Loon Landing,,14620,Rochester,NY,Active,sherry_sanchez@outlook.com,686-5414,,,,,,email;call,William Harris,911-815-2641,son,,F09;F11;F13;F14;M09;M11;M12;M15;T09;T10;T13;Th12;Th15;Th16;W09;W10;W11;W12;W15;W16,sedan,smoke,black,23,1,,,,N,Brochure,12/26/2024,5/11/2025,8/30/2025,9/18/2025,3/7/2026,
driver,Charles,Adams,CAdams,8om4qh9wp80,5/1960,165 Pinnacle Hill Rd,,14618,Rochester,NY,Active,charles_adams@gmail.com,984-902-2049,Y,Y,,,,email,Frank Leonard,960-213-9526,son,,F10;F11;F12;F13;F15;F16;M09;M10;M13;M16;T10;T12;T13;T15;T16;Th09;Th11;Th16;W10;W11;W12;W13;W15;W16,SUV,cats,black,26,4,,,,N,JCC,7/5/2023,6/18/2024,1/31/2025,10/8/2025,2/9/2026,
